employee_id,first_name,last_name,age,gender,blood_group,email,phone,city,state,region,pincode,department,position,shift,education,experience_years,salary,bonus,tax_deduction,net_salary,emp_status,join_date,last_promotion,performance_score,attendance_pct,leaves_taken,order_id,order_date,product_name,category,quantity,unit_price,discount_pct,revenue,tax_amount,net_revenue,order_status,payment_mode,delivery_days,customer_rating,return_flag,customer_id,customer_segment,sales_target,sales_achieved,target_achieved,manager_id,team_size,training_hours,certifications
EMP0011,Samarth,Agate,52,Male,B-,cagate@example.com,+91 6808705238,Mumbai,Maharashtra,South,608910,HR,Executive,Night,M.Tech,1,125281,24433.98,12528.1,112752.9,On Leave,09-12-2018,06-08-2024,3.04,90.39,26,ORD00011,03-07-2024,Monitor,Peripherals,15,46330,0.09,632404.5,113832.81,518571.69,Delivered,Credit Card,15,3,No,CUST5349,Premium,106834,342775,No,EMP0045,11,55,9
EMP0012,Zaitra,Yohannan,34,Other,B-,hemani58@example.net,+91 8563102056,Jaipur,Rajasthan,North,748251,Finance,Executive,Night,M.Tech,12,55315,8737.73,5531.5,49783.5,On Leave,08-09-2020,26-09-2022,3.67,79.79,22,ORD00012,30-10-2023,Laptop,Storage,14,721,0.16,8478.96,1526.21,6952.75,Pending,Debit Card,7,4,No,CUST5930,VIP,337276,467112,Yes,EMP0039,10,26,6
EMP0013,Lipika,Majumdar,42,Other,B+,prakashteerth@example.com,+91 6404713332,Kochi,Kerala,Central,748050,Analytics,Executive,Morning,BCA,20,184032,27773.99,18403.2,165628.8,Inactive,26-03-2017,29-10-2021,1.1,77.35,15,ORD00013,17-09-2024,Printer,Electronics,15,28510,0.15,363502.5,65430.45,298072.05,Cancelled,Net Banking,15,5,No,CUST7291,VIP,259533,157918,Yes,EMP0084,1,96,1
EMP0014,Hemal,Kothari,55,Male,AB-,ridhighosh@example.org,+91 7960514523,Kolkata,West Bengal,West,750002,Analytics,Executive,General,M.Com,5,82367,9390.75,8236.7,74130.3,Resigned,13-10-2016,31-08-2023,2.8,92.55,26,ORD00014,14-10-2024,Laptop,Peripherals,18,33162,0.28,429779.52,77360.31,352419.21,Returned,Net Banking,11,2,No,CUST8206,Premium,424103,179803,Yes,EMP0035,11,40,8
EMP0015,Anthony,Krish,36,Female,AB-,siyasachdeva@example.org,+91 9166857303,Mumbai,Maharashtra,South,620276,Support,Intern,Morning,M.Sc,4,61273,7447.55,6127.3,55145.7,On Leave,08-05-2018,10-03-2023,4.41,98.6,13,ORD00015,05-07-2024,Tablet,Storage,7,8918,0.12,54934.88,9888.28,45046.6,Returned,Debit Card,8,2,No,CUST8140,VIP,65217,233873,No,EMP0086,13,92,2
EMP0016,Deepa,Nagar,23,Female,B+,asandal@example.com,+91 9295130056,Ahmedabad,Gujarat,North,536396,Support,Intern,Night,BCA,19,58456,6909.79,5845.6,52610.4,On Leave,15-07-2023,16-02-2023,2.11,98.54,13,ORD00016,16-09-2023,Speaker,Electronics,19,4052,0.03,74678.36,13442.1,61236.26,Cancelled,Credit Card,12,5,Yes,CUST6733,Regular,390862,65975,Yes,EMP0097,1,31,3
EMP0017,Tanvi,Deo,37,Female,O+,znagi@example.org,+91 8280162221,Chennai,Tamil Nadu,Central,718372,IT,Senior Analyst,Evening,MCA,4,187879,12440.37,18787.9,169091.1,Active,01-07-2018,25-03-2024,3.71,98.75,12,ORD00017,23-07-2023,Printer,Electronics,4,74420,0.28,214329.6,38579.33,175750.27,Returned,EMI,14,2,Yes,CUST5941,Premium,467452,545817,Yes,EMP0045,18,54,10
EMP0018,Bina,Seshadri,43,Female,AB-,karlohit@example.org,+91 7567600762,Pune,Maharashtra,South,784720,Sales,Director,General,B.Com,16,43076,4968.22,4307.6,38768.4,On Leave,13-08-2018,18-05-2022,4.32,72.6,28,ORD00018,06-04-2024,Headphones,Accessories,16,14333,0.13,199515.36,35912.76,163602.6,Cancelled,Cash,10,4,No,CUST1470,VIP,496144,200401,Yes,EMP0063,7,45,4
EMP0019,Ishita,Bhakta,39,Female,AB-,vasudha39@example.org,+91 7841536135,Pune,Maharashtra,West,738639,Sales,Lead,General,B.Tech,19,98310,6287.71,9831,88479,Inactive,15-07-2019,17-11-2024,1.97,89.92,11,ORD00019,29-04-2024,Camera,Storage,7,11721,0.07,76303.71,13734.67,62569.04,Returned,UPI,7,5,No,CUST6764,VIP,192038,190758,No,EMP0030,4,92,3
EMP0020,Ojasvi,Warrior,33,Other,O+,pavanibehl@example.org,+91 6994027897,Pune,Maharashtra,South,555318,HR,Senior Manager,Night,MBA,17,56340,5371.46,5634,50706,Inactive,28-01-2018,04-04-2021,4.9,86.6,22,ORD00020,10-05-2023,Monitor,Networking,16,36741,0.22,458527.68,82534.98,375992.7,Delivered,Credit Card,10,3,No,CUST8843,VIP,228628,126659,Yes,EMP0033,16,14,1
EMP0021,Chaitanya,Munshi,25,Male,A-,xavier07@example.org,+91 9751028618,Kolkata,West Bengal,Central,724229,IT,Senior Manager,General,B.Com,2,153908,28669.31,15390.8,138517.2,On Leave,07-08-2021,29-05-2023,2.22,88.63,19,ORD00021,12-04-2023,Tablet,Accessories,19,40324,0.03,743171.32,133770.84,609400.48,Pending,UPI,11,1,No,CUST4929,Regular,339402,69355,Yes,EMP0001,14,57,9
EMP0022,Amol,Kurian,36,Female,B-,bnair@example.com,+91 9223240112,Ahmedabad,Gujarat,Central,517864,Finance,Manager,Night,MBA,1,101351,6153.17,10135.1,91215.9,Inactive,21-11-2023,22-09-2022,3.38,94.73,29,ORD00022,23-10-2023,Keyboard,Networking,15,9829,0.21,116473.65,20965.26,95508.39,Delivered,Net Banking,12,3,No,CUST5460,VIP,279511,72174,Yes,EMP0056,11,77,4
EMP0023,Anusha,Raghavan,23,Other,AB-,shuklaazaan@example.com,+91 8294872482,Chennai,Tamil Nadu,Central,628529,Finance,Lead,Morning,B.Com,7,48940,5001.38,4894,44046,On Leave,08-08-2018,04-10-2024,1.42,74.82,13,ORD00023,11-12-2024,Speaker,Networking,2,23462,0.14,40354.64,7263.84,33090.8,Shipped,EMI,7,5,Yes,CUST8451,Premium,214897,162329,No,EMP0015,13,65,0
EMP0024,Meera,Contractor,25,Male,B-,dugarinaya@example.org,+91 8689720101,Jaipur,Rajasthan,South,551010,HR,Lead,General,M.Tech,13,146104,7937.89,14610.4,131493.6,Inactive,17-12-2022,21-11-2021,2.24,70.41,13,ORD00024,06-04-2023,Camera,Accessories,12,65838,0.19,639945.36,115190.16,524755.2,Delivered,Net Banking,2,2,No,CUST5781,New,267836,467635,No,EMP0061,8,58,8
EMP0025,Owen,Gour,54,Other,O+,vyanjana93@example.com,+91 6403696046,Delhi,Delhi,East,707724,IT,Lead,Evening,B.Com,6,125554,16420.84,12555.4,112998.6,On Leave,23-09-2018,05-02-2024,4.05,81.32,29,ORD00025,26-11-2023,Phone,Accessories,9,54887,0.1,444584.7,80025.25,364559.45,Pending,Cash,7,2,No,CUST1715,New,440439,277975,No,EMP0050,5,63,0
EMP0026,Raghav,Sehgal,43,Male,B+,oben@example.net,+91 9803066091,Delhi,Delhi,South,439231,Marketing,Lead,Night,B.Sc,18,156672,22480.69,15667.2,141004.8,Resigned,15-04-2022,14-06-2021,4.41,95.57,27,ORD00026,30-06-2024,Printer,Networking,4,69437,0.27,202756.04,36496.09,166259.95,Shipped,EMI,12,4,Yes,CUST2121,Regular,380910,388822,No,EMP0030,3,55,1
EMP0027,Hredhaan,Shah,41,Female,AB+,fprabhu@example.net,+91 7362204999,Mumbai,Maharashtra,Central,616033,Sales,Manager,Evening,MBA,5,141307,8739.17,14130.7,127176.3,Resigned,13-12-2021,31-10-2024,1.96,97.38,4,ORD00027,26-08-2023,Laptop,Networking,11,7855,0.09,78628.55,14153.14,64475.41,Shipped,Net Banking,5,1,No,CUST5712,Regular,88724,261593,No,EMP0076,10,81,6
EMP0028,Manbir,Tank,34,Female,O+,dassjagdish@example.net,+91 8123557463,Hyderabad,Telangana,West,543906,Support,Analyst,Morning,B.Com,9,144756,25321.56,14475.6,130280.4,On Leave,13-09-2023,17-04-2022,3.43,80.57,20,ORD00028,14-07-2023,Printer,Storage,4,31591,0.11,112463.96,20243.51,92220.45,Shipped,EMI,13,2,Yes,CUST1645,New,463459,261118,Yes,EMP0075,12,93,2
EMP0029,Idika,Gulati,48,Female,O+,oscarchaudhry@example.net,+91 7375919523,Mumbai,Maharashtra,West,554739,IT,Executive,Morning,B.Com,10,102361,19902.46,10236.1,92124.9,Inactive,17-06-2023,08-04-2022,4.44,91.73,12,ORD00029,24-07-2024,Monitor,Peripherals,5,71201,0.26,263443.7,47419.87,216023.83,Delivered,Net Banking,1,3,Yes,CUST8451,New,402755,422697,No,EMP0075,13,81,5
EMP0030,Samesh,Bhakta,23,Female,O+,gopal97@example.com,+91 9225279834,Mumbai,Maharashtra,South,423774,Operations,Analyst,Night,B.Com,15,86295,5817.84,8629.5,77665.5,Inactive,10-01-2021,05-10-2021,2.55,81.13,30,ORD00030,14-12-2024,Speaker,Storage,8,8785,0.19,56926.8,10246.82,46679.98,Cancelled,Cash,12,2,No,CUST2622,VIP,372779,243970,No,EMP0005,12,27,7
EMP0031,Abha,Lanka,28,Male,A-,kohliupkaar@example.org,+91 9198433586,Ahmedabad,Gujarat,South,736437,Operations,Analyst,Morning,B.Sc,11,86895,7519.49,8689.5,78205.5,Inactive,29-10-2023,02-03-2024,1.82,94.89,17,ORD00031,01-08-2023,Camera,Storage,12,8436,0.12,89084.16,16035.15,73049.01,Pending,Debit Card,6,2,Yes,CUST5542,Regular,118153,313228,No,EMP0023,4,84,0
EMP0032,Sara,Ranganathan,37,Other,AB+,mittalvrinda@example.org,+91 6900651998,Delhi,Delhi,North,649690,Operations,Lead,Night,M.Com,11,28895,4017.85,2889.5,26005.5,Resigned,25-08-2020,30-03-2022,4.78,71.3,25,ORD00032,05-11-2024,Laptop,Storage,6,35282,0.02,207458.16,37342.47,170115.69,Shipped,Net Banking,11,1,Yes,CUST8847,VIP,273490,389712,Yes,EMP0063,15,9,1
EMP0033,Yatin,Chakrabarti,26,Female,AB+,libni62@example.org,+91 8587173220,Pune,Maharashtra,Central,717418,IT,Intern,Morning,M.Tech,4,184461,32819.1,18446.1,166014.9,Inactive,28-10-2019,14-07-2023,4.55,82.41,26,ORD00033,09-04-2024,Keyboard,Networking,20,77224,0.16,1297363.2,233525.38,1063837.82,Cancelled,EMI,2,3,No,CUST6120,New,246241,529957,Yes,EMP0088,16,8,1
EMP0034,Jai,Sagar,28,Other,O-,quppal@example.com,+91 6541102414,Mumbai,Maharashtra,East,748830,Operations,Intern,Morning,MCA,13,49439,6924.5,4943.9,44495.1,On Leave,29-02-2016,29-03-2024,3.03,74.64,15,ORD00034,18-08-2023,Tablet,Electronics,18,8361,0.18,123408.36,22213.5,101194.86,Shipped,Cash,6,1,No,CUST4705,VIP,493104,324107,Yes,EMP0078,9,3,2
EMP0035,Alka,Deol,44,Male,B+,bhanumati57@example.net,+91 6198524063,Hyderabad,Telangana,Central,512791,Sales,Intern,General,B.Com,10,105998,10720.04,10599.8,95398.2,On Leave,30-06-2018,27-10-2022,4.11,87.03,2,ORD00035,23-02-2023,Tablet,Accessories,5,74728,0.2,298912,53804.16,245107.84,Pending,Cash,1,1,No,CUST8259,VIP,304626,348282,No,EMP0054,9,27,8
EMP0036,Isaiah,Bahri,29,Male,B-,vigaayush@example.net,+91 9743520276,Mumbai,Maharashtra,North,404030,Finance,Senior Manager,Night,BCA,13,115484,19066.69,11548.4,103935.6,On Leave,31-03-2018,03-11-2022,1.48,84.92,13,ORD00036,29-06-2023,Speaker,Accessories,16,69566,0.2,890444.8,160280.06,730164.74,Cancelled,Cash,12,2,No,CUST2180,VIP,439043,52178,No,EMP0003,15,9,5
EMP0037,Ayaan,Oza,47,Female,B+,xsule@example.com,+91 9993381017,Kochi,Kerala,East,446205,Support,Intern,Morning,BCA,18,137534,15864.75,13753.4,123780.6,Resigned,16-11-2020,11-06-2021,2.58,79.31,10,ORD00037,15-08-2023,Keyboard,Peripherals,4,53588,0.01,212208.48,38197.53,174010.95,Pending,Credit Card,9,1,No,CUST6724,New,431356,532385,Yes,EMP0031,4,18,4
EMP0038,Ishanvi,Banerjee,31,Other,AB-,swaminathanvincent@example.net,+91 8773469560,Bangalore,Karnataka,East,479145,Marketing,Lead,Morning,B.Com,19,70481,8199.14,7048.1,63432.9,On Leave,06-12-2023,17-07-2022,3.37,80.56,2,ORD00038,14-11-2023,Tablet,Networking,16,61311,0.23,755351.52,135963.27,619388.25,Cancelled,Credit Card,1,3,No,CUST2257,Premium,372441,341468,No,EMP0060,19,70,0
EMP0039,Fariq,Halder,34,Male,AB-,sbora@example.net,+91 6970768982,Ahmedabad,Gujarat,East,774507,Operations,Senior Analyst,Evening,B.Tech,20,174856,15240.72,17485.6,157370.4,Resigned,05-12-2019,10-12-2023,3.09,74.76,11,ORD00039,17-10-2023,Speaker,Networking,16,66215,0.05,1006468,181164.24,825303.76,Cancelled,UPI,11,5,Yes,CUST6482,Premium,222852,79548,No,EMP0037,9,92,10
EMP0040,Reva,Aurora,27,Other,A-,sankaravni@example.org,+91 8700138002,Kochi,Kerala,West,737375,IT,Executive,Evening,M.Com,10,64419,4123.97,6441.9,57977.1,Resigned,13-09-2020,12-01-2023,1.07,79.27,30,ORD00040,08-08-2023,Mouse,Peripherals,10,51874,0.04,497990.4,89638.27,408352.13,Cancelled,Debit Card,4,2,No,CUST2264,New,492723,443201,Yes,EMP0065,18,94,8
EMP0041,Kiaan,Merchant,30,Other,B+,karanitara@example.net,+91 9146914391,Chennai,Tamil Nadu,West,590997,Support,Senior Manager,General,MCA,10,198520,32330.7,19852,178668,Resigned,16-08-2017,30-12-2023,1.96,98.97,25,ORD00041,25-04-2024,Tablet,Accessories,6,24203,0.25,108913.5,19604.43,89309.07,Shipped,EMI,10,4,No,CUST5616,VIP,313667,306540,No,EMP0021,7,77,2
EMP0042,Bahadurjit,Dhillon,52,Female,A-,ekiya48@example.com,+91 7392907427,Hyderabad,Telangana,West,669144,Operations,Manager,General,M.Tech,20,38678,7424.71,3867.8,34810.2,Inactive,22-01-2020,17-12-2022,4.72,82.45,12,ORD00042,29-05-2024,Camera,Peripherals,4,68121,0.26,201638.16,36294.87,165343.29,Pending,Net Banking,2,3,No,CUST1461,New,101948,469970,No,EMP0019,5,4,4
EMP0043,Utkarsh,Dutt,50,Male,AB+,issacwarhi@example.com,+91 6933409017,Ahmedabad,Gujarat,East,524591,Sales,Director,Morning,B.Tech,15,61383,5264.57,6138.3,55244.7,Resigned,15-09-2015,16-08-2021,4.35,84.99,17,ORD00043,17-01-2023,Phone,Storage,1,34044,0.06,32001.36,5760.24,26241.12,Returned,Debit Card,12,2,No,CUST8032,Premium,372337,214977,Yes,EMP0074,14,23,10
EMP0044,Garima,Dugal,26,Female,O+,bhanumati91@example.org,+91 6483426624,Mumbai,Maharashtra,North,580775,Sales,Senior Manager,Morning,B.Sc,11,162228,11357.82,16222.8,146005.2,On Leave,14-02-2021,25-11-2022,4.25,75.25,24,ORD00044,02-12-2024,Headphones,Networking,16,6206,0.19,80429.76,14477.36,65952.4,Cancelled,EMI,3,2,Yes,CUST8498,Premium,203848,135691,Yes,EMP0026,2,40,4
EMP0045,Garima,Zachariah,52,Male,O-,ndhillon@example.net,+91 8233654018,Jaipur,Rajasthan,East,629088,Finance,Intern,General,M.Sc,17,129392,13049.89,12939.2,116452.8,Inactive,25-07-2020,18-11-2024,2.99,97.73,16,ORD00045,01-10-2023,Laptop,Electronics,7,38001,0.11,236746.23,42614.32,194131.91,Cancelled,Credit Card,7,5,No,CUST9937,New,218407,83790,Yes,EMP0042,10,39,7
EMP0046,Ekavir,Bhatnagar,50,Female,O+,lakshmi48@example.net,+91 6180574838,Kochi,Kerala,West,590479,Operations,Manager,Morning,MBA,5,136703,24237.5,13670.3,123032.7,Resigned,23-05-2015,16-09-2021,1.27,93.36,11,ORD00046,06-01-2024,Printer,Networking,2,46710,0.18,76604.4,13788.79,62815.61,Returned,Credit Card,10,2,No,CUST7077,New,282752,430076,Yes,EMP0074,5,67,5
EMP0047,Isha,Patla,39,Female,A-,sarnazaitra@example.org,+91 8932111777,Kolkata,West Bengal,East,769118,HR,Lead,Evening,MCA,20,107414,16552.19,10741.4,96672.6,Resigned,30-03-2017,09-09-2021,1.54,72.22,5,ORD00047,31-12-2024,Phone,Networking,1,24885,0.15,21152.25,3807.4,17344.85,Delivered,EMI,14,3,No,CUST2063,New,207263,476358,Yes,EMP0092,6,46,8
EMP0048,Eshana,Contractor,30,Female,AB-,guhakaran@example.org,+91 7757074545,Bangalore,Karnataka,North,434470,HR,Director,General,B.Com,6,56814,7320.73,5681.4,51132.6,Resigned,12-06-2021,01-06-2021,1.5,79.51,2,ORD00048,05-04-2024,Printer,Networking,1,47803,0.17,39676.49,7141.77,32534.72,Returned,UPI,3,5,No,CUST3114,VIP,313645,507475,Yes,EMP0016,17,19,4
EMP0049,Naksh,Gera,36,Other,O+,chhabraforum@example.net,+91 7771112648,Delhi,Delhi,East,722137,Operations,Senior Analyst,Evening,MBA,10,67458,5105.23,6745.8,60712.2,On Leave,27-04-2021,26-03-2021,4.3,70.85,1,ORD00049,18-10-2024,Camera,Storage,10,10836,0.08,99691.2,17944.42,81746.78,Shipped,EMI,4,5,No,CUST1496,VIP,378814,316039,No,EMP0083,10,61,3
EMP0050,Wyatt,Natt,26,Male,O-,mandekantika@example.org,+91 7435632899,Kolkata,West Bengal,East,784932,Sales,Executive,General,MBA,14,102970,16897.35,10297,92673,Active,31-07-2018,11-05-2022,2.87,78.02,7,ORD00050,25-05-2023,Tablet,Electronics,15,54976,0.15,700944,126169.92,574774.08,Delivered,UPI,7,5,No,CUST5067,Regular,476496,201670,No,EMP0025,6,63,8
EMP0051,Liam,Ray,53,Male,B-,tamannanayak@example.com,+91 8152246275,Ahmedabad,Gujarat,North,547511,Sales,Lead,General,MCA,9,155746,20325.42,15574.6,140171.4,Active,01-11-2019,02-10-2021,4.53,91.83,24,ORD00051,17-02-2024,Phone,Peripherals,13,66749,0.14,746253.82,134325.69,611928.13,Delivered,Net Banking,1,5,No,CUST6939,New,88551,232558,No,EMP0098,18,35,9
EMP0052,Ekavir,Buch,28,Male,B-,kavya29@example.com,+91 9636954564,Kochi,Kerala,North,423752,Support,Analyst,Evening,B.Sc,4,56145,9578.05,5614.5,50530.5,Resigned,02-09-2016,26-05-2024,4.57,74.19,29,ORD00052,19-09-2024,Mouse,Peripherals,11,73616,0.28,583038.72,104946.97,478091.75,Pending,Net Banking,10,3,No,CUST9311,VIP,421583,325134,No,EMP0061,1,47,5
EMP0053,Noah,Mody,41,Other,B-,padmanabhanati@example.com,+91 6726553348,Mumbai,Maharashtra,West,489397,Sales,Intern,Evening,BCA,18,134193,7345.13,13419.3,120773.7,Active,20-02-2017,08-02-2021,2.76,82.56,13,ORD00053,08-12-2024,Speaker,Accessories,16,35303,0.29,401042.08,72187.57,328854.51,Cancelled,Cash,13,5,No,CUST2020,Regular,321939,138706,No,EMP0085,16,67,6
EMP0054,Fitan,Raju,43,Male,O+,odoctor@example.net,+91 8341449138,Pune,Maharashtra,East,551521,Operations,Senior Manager,General,B.Sc,14,70398,8586.48,7039.8,63358.2,On Leave,24-03-2018,07-09-2021,3.29,86.3,28,ORD00054,09-02-2024,Keyboard,Peripherals,20,63962,0.06,1202485.6,216447.41,986038.19,Pending,UPI,1,3,Yes,CUST6674,VIP,393918,164450,No,EMP0028,7,68,4
EMP0055,Upkaar,Bhasin,28,Male,A+,luckyhari@example.net,+91 6543778963,Jaipur,Rajasthan,East,776102,HR,Lead,Morning,MBA,4,96203,4884.92,9620.3,86582.7,Inactive,25-07-2019,30-08-2024,4.74,96.35,15,ORD00055,28-10-2024,Monitor,Accessories,2,70104,0.07,130393.44,23470.82,106922.62,Shipped,UPI,5,1,Yes,CUST4804,Premium,141784,249092,Yes,EMP0005,13,100,7
EMP0056,Aditya,Mitra,22,Female,O+,qabil18@example.org,+91 9788603957,Delhi,Delhi,Central,674893,Finance,Lead,Evening,M.Com,1,100882,12126.33,10088.2,90793.8,Inactive,06-04-2016,09-11-2022,1.65,83.77,8,ORD00056,10-07-2023,Speaker,Electronics,20,14564,0.28,209721.6,37749.89,171971.71,Shipped,UPI,10,2,No,CUST7643,VIP,320155,201928,Yes,EMP0052,4,23,2
EMP0057,Saanvi,Naik,22,Female,O+,turvi38@example.org,+91 6380840558,Ahmedabad,Gujarat,East,763210,Finance,Senior Manager,Morning,M.Tech,7,109830,13158.65,10983,98847,Inactive,19-07-2019,06-11-2024,3.01,96.85,22,ORD00057,15-11-2023,Headphones,Electronics,8,59054,0.23,363772.64,65479.08,298293.56,Shipped,UPI,10,2,No,CUST3188,VIP,130313,268539,No,EMP0054,18,60,8
EMP0058,Manya,Parmer,27,Male,A+,alexander17@example.com,+91 7714933740,Bangalore,Karnataka,Central,478565,Analytics,Manager,Night,M.Com,19,89871,10449.85,8987.1,80883.9,Inactive,15-01-2023,09-04-2024,2.96,96.97,14,ORD00058,26-02-2023,Camera,Networking,12,10737,0.28,92767.68,16698.18,76069.5,Pending,Cash,7,4,Yes,CUST8575,New,429207,41413,No,EMP0033,1,95,3
EMP0059,Idika,Goel,49,Male,AB-,rachana44@example.org,+91 6408261300,Kochi,Kerala,West,494362,Operations,Manager,General,B.Sc,1,44144,8781.5,4414.4,39729.6,Resigned,12-01-2020,13-02-2023,2.5,90.48,21,ORD00059,06-07-2024,Phone,Accessories,18,8397,0.28,108825.12,19588.52,89236.6,Shipped,Credit Card,3,5,No,CUST9664,Regular,431607,543133,Yes,EMP0001,1,38,7
EMP0060,Daksh,Bava,46,Male,A-,jbalan@example.com,+91 6969170578,Jaipur,Rajasthan,West,722396,HR,Analyst,Evening,BCA,17,136182,8183.67,13618.2,122563.8,Active,03-01-2020,09-05-2024,3.69,96.17,7,ORD00060,15-02-2023,Monitor,Networking,15,45871,0.05,653661.75,117659.11,536002.64,Cancelled,Debit Card,9,2,Yes,CUST3295,New,172768,457706,No,EMP0074,20,98,10
EMP0061,Ekiya,Singhal,31,Other,B+,urishillabali@example.org,+91 9696840109,Pune,Maharashtra,West,424580,HR,Executive,General,M.Com,9,87102,8519.46,8710.2,78391.8,Resigned,31-07-2019,02-11-2021,2.2,75.52,17,ORD00061,29-04-2024,Headphones,Accessories,10,36564,0.02,358327.2,64498.9,293828.3,Pending,UPI,14,2,No,CUST1944,VIP,268370,322178,Yes,EMP0050,8,32,3
EMP0062,Yuvraj,Palla,50,Female,A+,yauvani13@example.com,+91 6302038796,Pune,Maharashtra,Central,779744,Operations,Senior Manager,General,BCA,2,194530,35097.31,19453,175077,On Leave,26-05-2018,01-02-2021,1.85,75.7,23,ORD00062,01-05-2023,Phone,Networking,18,25466,0.02,449220.24,80859.64,368360.6,Pending,EMI,10,2,No,CUST4921,New,456592,178404,No,EMP0060,18,83,5
